"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"de.unibi.cebitec.bibiserv.search.index.Occurence";"269520";"11230";"11230";"4.85";"16"
"java.util.HashMap$Entry[]";"133776";"1729";"1795";"7.15";"17"
"java.util.HashMap$Entry";"116808";"4867";"4948";"7.19";"18"
"java.util.HashMap";"83520";"1740";"1774";"7.26";"18"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeEdge";"34080";"1420";"1420";"7.28";"16"
"de.unibi.cebitec.bibiserv.search.util.IntPointer";"20048";"1253";"12181";"7.45";"16"
"java.lang.Object[]";"15320";"274";"3234";"6.09";"16"
"java.util.HashSet";"15168";"948";"949";"7.29";"16"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeLeaf";"15152";"947";"947";"7.30";"16"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeCharacter";"15072";"942";"72803";"7.29";"16"
"char[]";"11096";"345";"78277";"7.59";"17"
"java.lang.String";"8064";"336";"46237";"7.78";"18"
"java.util.concurrent.locks.ReentrantLock$NonfairSync";"7872";"328";"328";"7.22";"17"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeSplitNode";"7408";"463";"464";"7.21";"16"
"java.util.ArrayList";"7368";"307";"3108";"7.35";"17"
"de.unibi.cebitec.bibiserv.search.util.StringPointer";"5344";"334";"11519";"7.31";"16"
"java.util.concurrent.locks.ReentrantLock";"5248";"328";"328";"7.20";"17"
"de.unibi.cebitec.bibiserv.search.util.MultiListMap";"5168";"323";"323";"7.20";"16"
"de.unibi.cebitec.bibiserv.search.index.WordID";"5136";"321";"321";"7.17";"16"
"de.unibi.cebitec.bibiserv.search.index.OccurenceSet";"5120";"320";"320";"7.16";"16"
"java.lang.Short[]";"1040";"1";"1";"18.00";"1"
"java.lang.Integer";"384";"24";"24";"17.04";"2"
"boolean[]";"272";"1";"1";"18.00";"1"
"java.util.concurrent.ConcurrentHashMap$HashEntry";"240";"10";"12";"17.40";"2"
"java.lang.reflect.Method[]";"192";"1";"1";"18.00";"1"
"long[]";"176";"1";"1";"17.00";"1"
"java.lang.reflect.Method";"160";"2";"2";"18.00";"1"
"java.text.DecimalFormat";"136";"1";"1";"17.00";"1"
"java.lang.String[]";"112";"1";"2622";"17.00";"1"
"java.util.GregorianCalendar";"112";"1";"1";"17.00";"1"
"java.text.DateFormat$Field[]";"104";"1";"1";"17.00";"1"
"sun.util.calendar.Gregorian$Date";"96";"1";"1";"17.00";"1"
"org.ccil.cowan.tagsoup.ElementType";"96";"2";"2";"17.00";"1"
"int[]";"80";"1";"96976";"17.00";"1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]";"80";"1";"1";"17.00";"1"
"java.util.concurrent.ConcurrentHashMap$Segment[]";"80";"1";"1";"17.00";"1"
"java.util.WeakHashMap$Entry[]";"80";"1";"1";"18.00";"1"
"java.lang.Object";"72";"9";"9";"17.33";"3"
"byte[]";"72";"2";"429";"17.00";"1"
"sun.net.www.protocol.jar.URLJarFile";"72";"1";"1";"18.00";"1"
"java.lang.reflect.Constructor";"64";"1";"1";"18.00";"1"
"byte[][]";"64";"1";"1";"17.00";"1"
"java.text.SimpleDateFormat";"64";"1";"1";"17.00";"1"
"java.util.regex.Pattern";"64";"1";"24199";"18.00";"1"
"java.util.LinkedHashMap";"56";"1";"1";"17.00";"1"
"java.util.Properties";"56";"1";"1";"18.00";"1"
"java.util.jar.JarFile";"56";"1";"1";"18.00";"1"
"org.apache.tika.parser.microsoft.OfficeParser$POIFSDocumentType[]";"56";"1";"1";"17.00";"1"
"java.util.WeakHashMap";"56";"1";"1";"18.00";"1"
"java.lang.Package";"48";"1";"1";"18.00";"1"
"java.lang.Short";"48";"3";"4";"18.00";"1"
"org.apache.log4j.Hierarchy";"48";"1";"1";"18.00";"1"
"java.math.RoundingMode[]";"48";"1";"1";"17.00";"1"
"java.util.concurrent.ConcurrentHashMap";"48";"1";"1";"17.00";"1"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]";"48";"1";"2";"17.00";"1"
"org.apache.tika.mime.MediaType";"48";"2";"33";"17.50";"2"
"sun.util.resources.CurrencyNames_de_DE";"40";"1";"1";"17.00";"1"
"sun.util.resources.CurrencyNames_de";"40";"1";"1";"17.00";"1"
"sun.util.resources.CurrencyNames";"40";"1";"1";"17.00";"1"
"sun.util.resources.CalendarData_de";"40";"1";"1";"17.00";"1"
"sun.util.resources.CalendarData";"40";"1";"1";"17.00";"1"
"sun.util.locale.LocaleObjectCache$CacheEntry";"40";"1";"1";"17.00";"1"
"sun.text.resources.FormatData_en_US";"40";"1";"1";"17.00";"1"
"sun.text.resources.FormatData_en";"40";"1";"1";"17.00";"1"
"sun.text.resources.FormatData_de_DE";"40";"1";"1";"17.00";"1"
"sun.text.resources.FormatData_de";"40";"1";"1";"17.00";"1"
"sun.text.resources.FormatData";"40";"1";"1";"17.00";"1"
"org.apache.log4j.spi.RootLogger";"40";"1";"1";"18.00";"1"
"org.apache.log4j.Logger";"40";"1";"1";"18.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync";"40";"1";"1";"18.00";"1"
"java.util.ResourceBundle$BundleReference";"40";"1";"1";"17.00";"1"
"java.text.DigitList";"40";"1";"1";"17.00";"1"
"java.text.DateFormat[]";"40";"1";"1";"17.00";"1"
"java.lang.Boolean[]";"40";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.util.Status[]";"40";"1";"1";"18.00";"1"
"java.util.zip.Inflater";"32";"1";"1";"18.00";"1"
"java.lang.Class[]";"32";"2";"4";"17.50";"2"
"java.util.Collections$UnmodifiableSortedMap";"32";"1";"1";"18.00";"1"
